cluster_id,representative_label,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
116544,Cluster_116544,net_interest_income_after,-------_---------------------_net,----------_-----------------------------------------------_adjusted,----------_------------------------------_income,--------------_loss,benefit_provision,-----------------------------------------------_income,----------_---------_net,---------------------------------------_loss,----------------------------------------------------------_forma
116551,grandmother,woman,teenager,pensioner,motorist,schoolboy,heartbroken,grandmother,widow,,
116558,Cluster_116558,gautam_gambhir_yuvraj_singh,sri_lanka_marvan_atapattu,lasith_malinga_dilhara_fernando,shoaib_malik_shahid_afridi,matthew_hayden_phil_jaques,,,,,
116563,Cluster_116563,diaz,reyes,chavez,ricardo,paolo,alfredo,,,,
116573,Cluster_116573,drug_resistant,quitting_smoking,holds_promise,develop_novel,lower_blood_pressure,arthritis_drug,osteoporosis_drug,get_flu_shots,shows_promising,lung_cancer_drug
116576,Cluster_116576,probable_wr,buffalo_bills,cleveland_browns,tennessee_titans,signed_lb,cleveland_browns_signed,probable_c,kansas_city_chiefs_signed,wr_az_zahir_hakim,de_igor_olshansky
116586,Cluster_116586,trade_deficit_widens,down_sharply,lowest_level_since,currencies_dollar,is_little_changed,less_than_forecast,holds_near,spending_rises,investors_await,remains_unchanged
116591,calculation,subsidiaries_consolidated_statements,operations_unaudited_three_months,retained_earnings,condensed_consolidated,financial_and_operational,statements_of_operations_amounts,inc._consolidated_statement_of,calculation,ebitda_reconciliation,unaudited_in_thousands
116596,mark,john,david,michael,mark,james,robert,peter,andrew,daniel,stephen
116601,Cluster_116601,reaffirms_guidance,4q_profits,completes_tender_offer,posts_smaller,4q_profit_surges,reaffirms_fy##_eps,sees_2q,evp_exercises_options,q1_profit_soars,q4_profit_soars
116604,Cluster_116604,kennix_chim,bijoy_koyitty,firouz_sedarat,robert_melnbardis,gyles_beckford,karen_lema,dina_kyriakidou,thierry_leveque,nick_vinocur,emmanuel_jarry
116612,Cluster_116612,james_loewenstein,solochek@sptimes.com,jjardine@modbee.com,mike_copper,fsawyer@freedomenc.com,icropp@vaildaily.com,bailey@globe.com,tcaprood@troyrecord.com,fmaglione@newbritainherald.com,soppat@annarbornews.com
116614,Cluster_116614,by_stephen_thompson,by_bill_ward,by_karen_youso,by_jackie_crosby,by_maura_lerner,david_la_vaque,by_tom_horgen,by_christine_robinson,by_katherine_kersten,josephine_marcotty_star
116617,Cluster_116617,www.lapena.org,www.hultcenter.org,anthologysd.com,by_fredric_koeppel,www.swansonsnursery.com,www.magiccitymusichall.com,jmcclelland@coxohio.com,visit_http://www.cardiacscience.com,browardcenter.org,palacasino.com_entertainment
116620,Cluster_116620,anticipation,quits,handed,herein,snub,relishing,by_joel,before_making_any_voting,drogba,pleased_with
116628,Cluster_116628,oniookamialfador,tsigili,jaguar###,conal_andrews,jimbom###,holbrook_mohr_##.##.##_##:##,amusicsite,jessiethe3rd,aocguy,pragmatist1
116631,Cluster_116631,by_jaime_marine,by_rebecca_vesely,tom_ayres_comics,martin_c._bricketto,by_erik_boal,by_barbara_arrigoni,sam_amick_bee,by_ben_szobody,heather_mccarron,by_vincent_bonsignore
116636,Cluster_116636,gary_hawkins,rhett_bollinger_mlb.com,jeanette_goldman,dan_martin,pbn_staff,amy_calder,lim_teik_huat,marcela_creps_###-####_mcreps@heraldt.com,dewayne_patterson,bob_nightengale_usa_today
116638,Cluster_116638,keith_bradsher,nick_bunkley,eric_dash,campbell_robertson,john_markoff,alice_gomstyn,steven_walters,james_glanz,jane_perlez,douglas_montero
116635,Cluster_116635,gregory_katz,kelly_p._kissel,david_rising,clare_trapasso,brett_zongker,frederic_j._frommer,jim_davenport,alex_kennedy,karen_matthews,max_delany
116637,Cluster_116637,by_dale_gavlak,by_george_merritt,by_mike_colias,by_jorge_sainz,by_jari_tanner,by_gillian_gaynair,by_jean_ortiz,by_jennifer_coleman,by_gregg_aamot,by_pita_ligaiula
116627,Cluster_116627,photo_julie_jacobson,photo_hassan_ammar,photo_matthias_schrader,photo_ivan_sekretarev,photo_markus_schreiber,,,,,
116625,Cluster_116625,evan_agostini_file,ric_feld,marco_ugarte,ricardo_arduengo,juan_karita,gary_kazanjian,karel_navarro,darren_abate,hector_mata,denis_poroy_file
116630,Cluster_116630,by_scott_goldstein,by_ian_mccann,by_kim_horner,dan_x._mcgraw,by_david_flick,by_david_hinojosa,by_kristy_chu,by_ed_bark,steve_mcgonigle,
116619,Cluster_116619,information_visit_www.nationwide.com,visit_www.verizonbusiness.com,information_visit_www.discoverfinancial.com,please_visit_www.openwave.com,visit_www.sgi.com,please_visit_www.mwv.com,information_visit_www.averydennison.com,visit_www.cpk.com,visit_www.spectraenergy.com,information_visit_http://www.advancedcell.com
116610,Cluster_116610,tdelias@aol.com,bwood@starbulletin.com,jlaksin@gmail.com,gpolicinski@fac.org,nick_cammuso,msmith@cnc.com,,,,
116608,Cluster_116608,lorraine_woellert,patricia_kuo,whitney_mcferron,chris_dolmetsch,nichola_saminather,kae_inoue,naomi_kresge,,,
116606,Cluster_116606,writer_robert_jablon,writer_dina_cappiello,writer_solvej_schou,writer_suzan_fraser,writer_christopher_bodeen,writer_monika_scislowska,writer_kevin_freking,writer_mark_scolforo,writer_derek_gatopoulos,writer_mike_cidoni
116599,Cluster_116599,tiene,nuevos,todas_las,importantes,como_una,incluye,,,,
116595,Cluster_116595,diluted,============================================_basic,================================================_net,===========================_diluted,net_loss_per_common,==============================================_diluted,================================================_basic,===============================_diluted,common_share_basic,===================================_earnings
116593,Cluster_116593,fatal_hit,fire_destroys_home,meth_bust,pedestrian_hit,store_robbery,purse_snatcher,police_investigate_possible,suspect_identified,attempts_suicide,slay_suspect
116594,Cluster_116594,decry,judge_throws_out,hits_snag,raises_concern,stands_firm,feds_probe,lawsuit_settled,rejects_calls,pressure_builds,showdown_looms
116583,Cluster_116583,======================_liabilities_and_stockholders,equity_current_liabilities,--------------------_total_liabilities,"##,###,###_========================_liabilities_and",------------_total_assets,,,,,
116581,Cluster_116581,s.drew,heller_a.,mosch,gaillard_p.,bohannan_ri,,,,,
116572,Cluster_116572,luis_bolivar,beau_torbert,nate_tenbrink,ernesto_mejia,chairon_isenia,,,,,
116556,fifth,second,third,fifth,seventh,eighth,,,,,
116557,Cluster_116557,sind,wurde,eines,über_die,soll,heute,wenn,ist_ein,dann,und_das
116533,Cluster_116533,clivio_piccione,dirk_müller,alex_debon,jolyon_palmer,toni_vilander,vitaphone_maserati,jean_denis_deletraz,,,
116554,Cluster_116554,dato_paduka_hj,haji_mohd,pehin_dato_haji_awang,mohd_yassin,dato_seri_setia_hj,yb_pehin_orang_kaya,,,,
116524,Cluster_116524,l_tuqiri,j_lewsey,london_irish,g_chuter_leicester,youngs_leicester,j_bonnaire,so'sullivan,po'connor,###a_###x#,to'leary
116513,Cluster_116513,enos,hedgehog_signaling,antiapoptotic,hypothalamic_pituitary,oncogenic,,,,,
116507,Cluster_116507,matt_taormina,oystrick,andrew_joudrey,mike_radja,tj_trevelyan,kyle_greentree,jani_rita,chad_painchaud,justin_dibenedetto,aaron_schneekloth
116496,Cluster_116496,###gb_sata_hard,sata_3gb_s,s###i,nc####,msi_x###,pentium_dual_core,sd_mmc_slot,ram_###gb_hdd,amcc_powerpc,ata###
116497,Cluster_116497,dopamine,serotonin,neurotransmitter,glutamate,norepinephrine,acetylcholine,,,,
116515,Cluster_116515,bailey_corey,p#t##_##:##_turnovr,kristi_brummel_##:##,davis_kaleia,dale_jasmine,hannah_rashawn,jovon_mosley,geriot_dan,parkes_brad,mays_keddric
116546,assist,layup,jumper,foul,assist,steal,p#t#_missed_jumper,,,,
116460,anyway,but,and,so,however,while,even,then,despite,meanwhile,maybe
116458,frequently,often,usually,sometimes,frequently,rarely,normally,typically,generally,occasionally,
116430,Cluster_116430,sulphide,porphyry,pyrite,breccia,chalcopyrite,footwall,sedimentary,stratigraphy,pegmatite,pyrrhotite
116461,Cluster_116461,ganesh,ramachandra,sureshkumar,muralikrishna,nageshwara_rao,madhusudhan_reddy,,,,
116517,Cluster_116517,ang,ni,nga,kami,nina,nung,bahut,lagi,tapos,sa_amin
116523,Cluster_116523,raviteja,mani_ratnam_guru,rakht,balu_mahendra,varun_sandesh,andaz_apna_apna,blessy,fareb,shraddha_das,evv_satyanarayana
116477,Cluster_116477,sanchit,moti_lal,vijaylakshmi,kinjal,haribhau,,,,,
116475,Cluster_116475,kr_puram,malakpet,mandya_district,ambala_cantonment,neemuch,phulwari,badwani,narayanguda,mahendergarh,shamirpet
116495,Cluster_116495,mahottari,mahendranagar,kalikot,sindhupalchowk,dhading_district,jhargram_sub_division,kanchanpur_district,,,
116549,Cluster_116549,mumbai,chennai,hyderabad,kolkata,lucknow,,,,,
116560,Cluster_116560,mumbai,bangalore,chennai,hyderabad,kolkata,lucknow,mysore,,,
116540,Cluster_116540,gujarat,maharashtra,karnataka,bihar,assam,orissa,,,,
116487,Cluster_116487,manny_adako,ryan_evanochko,alex_vander_baan,natalie_berglin,dartaye_ruffin,laura_menty,chineze_nwagbo,katelyn_linney,talisha_barlow,
116491,Cluster_116491,jontae_sherrod,noah_dahlman_scored,marvett_mcdonald,josh_bedwell,darrion_griffin,trent_blakley,jt_sulton,greg_dilligard,corey_godzinski,josimar_ayarza
116454,melody,orchestra,mozart,melody,symphony,lyrical,beethoven,melodic,choral,rhythmic,orchestral
116463,artist,artist,painter,sculptor,watercolor,printmaker,watercolorist,ceramicist,,,
116582,guitar,guitar,pianist,violin,violinist,cello,soloist,saxophone,clarinet,harmonica,saxophonist
116584,Cluster_116584,guitarist,drummer,bassist,vocalist,keyboardist,,,,,
116470,Cluster_116470,likable,affable,personable,jovial,amiable,gregarious,genial,,,
116442,gene,protein,genetic,gene,enzyme,molecule,receptor,peptide,cysteine,,
116419,funny,funny,hilarious,quirky,humorous,witty,goofy,zany,kooky,sardonic,
116500,Cluster_116500,hindi,bengali,kannada,telugu,marathi,oriya,,,,
116448,Cluster_116448,islamabad,karachi,lahore,peshawar,dhaka,rawalpindi,faisalabad,,,
116484,Cluster_116484,nairobi,harare,khartoum,kinshasa,dakar,abidjan,lusaka,luanda,bujumbura,kigali
116492,Cluster_116492,australian,sydney,melbourne,queensland,nsw,brisbane,perth,adelaide,canberra,tasmanian
116525,Cluster_116525,beijing,tokyo,singapore,sydney,melbourne,,,,,
116526,Cluster_116526,london,paris,berlin,dubai,brussels,doha,kuwait,riyadh,manama,
116514,Cluster_116514,kiev,bishkek,tbilisi,baku,chisinau,,,,,
116518,Cluster_116518,chicago,atlanta,detroit,philadelphia,miami,denver,dallas,indianapolis,phoenix,pittsburgh
116543,Cluster_116543,helena,olympia,boise,cheyenne,billings,spokane,yakima,,,
116468,Cluster_116468,greenville,fayetteville,greensboro,lubbock,asheville,waco,amarillo,abilene,lynchburg,texarkana
116472,Cluster_116472,tulsa,wichita,muskogee,neosho,bartlesville,mcalester,,,,
116404,Cluster_116404,shrub,dogwood,hydrangea,clematis,camellia,amaryllis,hosta,coleus,phlox,dahlia
116411,Cluster_116411,melodramatic,sappy,cliched,hackneyed,cloying,saccharine,maudlin,mawkish,treacly,
116394,Cluster_116394,hippocampus,neuron,neuronal,cortex,cortical,cerebellum,prefrontal,midbrain,,
116393,Cluster_116393,testament,mastodon,trivium,behemoth,evanescence,nevermore,deicide,paradise_lost,malevolent_creation,kingdom_of_sorrow
116395,Cluster_116395,spokane,boise,billings,missoula,yakima,pocatello,flathead,,,
116380,cancer,cancer,neuroblastoma,carcinoma,sarcoma,rhabdomyosarcoma,,,,,
116567,Cluster_116567,moscow,ukraine,azerbaijan,ukrainian,kazakhstan,armenia,tbilisi,kiev,azerbaijani,belarusian
116571,Cluster_116571,polish,czech,hungarian,romanian,slovak,slovenian,,,,
116383,Cluster_116383,cialis,viagra,valium,levitra,xanax,soma,prozac,clomid,zoloft,zithromax
116373,Cluster_116373,modernism,impressionistic,expressionist,surrealism,impressionism,cubism,expressionism,,,
116368,Cluster_116368,leeds,sunderland,yorkshire,somerset,stoke,blackpool,swansea,lancashire,hampshire,pompey
116365,eight,two,three,four,some,five,six,seven,almost,nine,eight
116355,Cluster_116355,ohio,indiana,cincinnati,akron,peoria,rockford,evansville,owensboro,,
116346,Cluster_116346,adolphus_wabara,governor_orji_uzor_kalu,oteng,abubakari,enwerem,pdp_governorship_candidate,alhaji_dauda,osei_tutu,balarabe_musa,chief_onyema_ugochukwu
116351,Cluster_116351,sotik,kapenguria,kyenjojo,rakai_district,mpigi_district,ahafo_ano_north,kabula,ol_kalou,cherangany,mbooni
116344,aunt,wife,son,mother,father,daughter,husband,brother,sister,dad,mom
116328,car,car,vehicle,truck,suv,sedan,minivan,coupe,hatchback,roadster,cabriolet
116349,congratulate,pleased,excited,proud,disappointed,thank,delighted,glad,thrilled,grateful,congratulate
116353,angry,surprised,worried,angry,shocked,frustrated,scared,confused,stunned,unhappy,embarrassed
116358,reluctant,reluctant,unwilling,reluctance,hesitant,unwillingness,loath,,,,
116329,Cluster_116329,james,david,england,michael,paul,george,johnson,jackson,jason,andrew
116342,Cluster_116342,india,america,europe,texas,michigan,utah,indiana,missouri,,
116323,professor,professor,scientist,researcher,biologist,physicist,sociologist,astronomer,ecologist,geneticist,astrophysicist
116307,bacteria,bacteria,insect,fungus,bacterial,organism,bacterium,pathogen,fungi,microbe,aphid
116313,Cluster_116313,dangane,ireneo,hermogenes,magtanggol_gatdula,cabigas,unabia,gabuya,edcel,catindig,
116324,Cluster_116324,jurassic,cretaceous,triassic,miocene,devonian,eocene,precambrian,mesozoic,ordovician,proterozoic
116320,flu,flu,malaria,influenza,measles,mumps,pertussis,chickenpox,salmonellosis,cryptosporidiosis,
116278,Cluster_116278,selfish,arrogant,arrogance,greedy,hypocrisy,incompetence,stupidity,cocky,absurdity,hubris
116285,Cluster_116285,vaccine,vaccination,vaccinated,immunization,vaccinate,,,,,
116279,god,god,bible,biblical,theology,theological,scripture,psalms,scriptural,deuteronomy,galatians
116359,capitalism,socialist,capitalism,leftist,socialism,communism,capitalist,authoritarian,conservatism,marxist,fascist
116375,extremist,terrorist,islamic,islamist,extremist,extremism,jihadist,jihadi,,,
116390,let,let,lashkar,huji,jaish,jem,harkat_ul_ansar,,,,
116310,Cluster_116310,jewish,christianity,rabbi,judaism,torah,yeshiva,talmud,rabbinical,rabbinic,midrash
116288,columnist,writer,reporter,journalist,columnist,filmmaker,poet,poem,screenplay,playwright,novelist
116352,Cluster_116352,ontario_krista_mccarville,ferbey_rink,brian_rafuse,al_hackner,ted_appelman,,,,,
116255,Cluster_116255,insulting,disrespectful,derogatory,vulgar,demeaning,,,,,
116312,battle,battle,dispute,showdown,brawl,altercation,spat,scuffle,bickering,tussle,discord
116508,anger,anger,frustration,discontent,dissatisfaction,unhappiness,disenchantment,discontentment,,,
116516,controversy,controversy,outrage,uproar,furor,brouhaha,,,,,
116317,bicycle,motorcycle,bicycle,scooter,motorbike,skateboard,,,,,
116339,ski,ski,skiing,skier,snowboarding,snowboard,,,,,
116263,Cluster_116263,mexican,argentina,brazilian,venezuela,portugal,colombia,chile,peru,venezuelan,argentine
116291,Cluster_116291,sanchez,reyes,rivera,diaz,santiago,jimenez,vargas,ortega,fuentes,rosales
116260,Cluster_116260,galaxy,cosmic,comet,supernova,galactic,nebula,quasar,planetary_nebulae,metallicity,galactic_disk
116245,Cluster_116245,capacitance,actuator,impedance,inductor,inductance,potentiometer,impedance_matching,reed_switches,handwheel,
116287,dull,grim,bleak,dull,gloomy,tedious,arduous,dreary,glum,monotonous,
116378,Cluster_116378,jed_adcock,kade_simpson,luke_ablett,kieren_jack,scott_gumbleton,jarrod_harbrow,courtenay_dempsey,jason_cloke,cale_morton,kris_massie
116248,agricultural,meat,agriculture,agricultural,cattle,farming,livestock,sheep,cows,lamb,horticulture
116268,Cluster_116268,tokyo,korean,seoul,yokohama,nagoya,fukuoka,,,,
116237,Cluster_116237,coating,polymer,adhesive,substrate,polyester,ethylene,polyethylene,polypropylene,sealant,nanotube
116266,bird,bird,squirrel,waterfowl,robin,wigeons,red_tailed_hawks,white_breasted_nuthatch,,,
116357,Cluster_116357,deer,wolf,elk,moose,coyote,cougar,bobcat,,,
116240,Cluster_116240,mabinay,surallah,m'lang,basay,floridablanca,maragusan,baao,,,
116265,analysis,update,editorial,analysis,interview,preview,roundup,column,corrected,feature,commentary
116275,Cluster_116275,petitioner,appellant,defendant,plaintiff,respondent,petitioner_counsel,defendant_asserts,,,
116356,Cluster_116356,justice_vijender_jain,justice_ss_nijjar,justice_ar_lakshmanan,justice_ruma_pal,ts_thakur,vs_sirpurkar,rc_jain,justice_pradeep_nandrajog,sardar_mohammad_aslam,ashutosh_kumbhakoni
116213,ankle,shoulder,knee,ankle,hip,wrist,elbow,hamstring,groin,calf,thigh
116212,rain,rain,snow,warm,sunny,rainfall,warmer,chilly,precipitation,snowfall,windy
116214,cafe,store,restaurant,pub,supermarket,cafe,grill,barbecue,bakery,lounge,pizza
116264,Cluster_116264,уου_аrе,јυѕt,tοο,tο,wе,deals_аrе,tο_hаνе,itѕ,аn_ԁ_οthеr,hοwеνеr
116259,Cluster_116259,unparalleled,unmatched,unrivaled,unsurpassed,incomparable,unequaled,unparallel,,,
116207,bridge,bridge,highway,intersection,interstate,roadway,freeway,southbound,northbound,westbound,eastbound
116385,eight,two,three,four,five,six,several,seven,eight,nine,various
116622,eighty,twenty,forty,fifty,sixty,seventy,eighty,,,,
116623,eighteen,fifteen,thirteen,fourteen,sixteen,eighteen,,,,,
116204,Cluster_116204,libya,libyan,tripoli,gaddafi,qaddafi,qadhafi,khadafy,qadaffi,muammar_qadhafi,el_qaddafi
116256,fish,fish,fishing,salmon,seafood,shrimp,whale,trout,tuna,lobster,fishery
116276,frog,snake,frog,reptile,lizard,mammal,critter,,,,
116216,meditation,yoga,meditation,spirituality,mystical,metaphysical,mysticism,metaphysics,,,
116173,Cluster_116173,maryam_yusuf_jamal,ebuya,geraldine_pillay,champion_janeth_jepkosgei,tuwei,nancy_langat,ndeti,pamela_chepchumba,edwin_cheruiyot_soi,cheboror
116175,cat,dog,pet,cat,puppy,kitten,pup,feline,pooch,poodle,terrier
116183,Cluster_116183,burly,lanky,chubby,bespectacled,dapper,wiry,scrawny,gangly,pudgy,rotund
116157,Cluster_116157,grumpy,cranky,cantankerous,irascible,curmudgeon,curmudgeonly,crotchety,,,
116197,courage,courage,athleticism,toughness,bravery,quickness,perseverance,tenacity,heroism,fortitude,gumption
116211,Cluster_116211,dogma,dogmatic,rationalism,dogmatism,empiricism,rationalistic,subjectivism,,,
116185,Cluster_116185,passover,hanukkah,purim,chanukah,challah,hanukah,hannukah,,,
116194,Cluster_116194,picturesque,tranquil,serenity,bucolic,verdant,,,,,
116160,Cluster_116160,afrikaans,xhosa,kiswahili,setswana,luganda,tswana,sotho,isixhosa,,
116182,bishop,church,pope,pastor,priest,parish,bishop,diocese,archbishop,archdiocese,pontiff
116141,photo,photo,photographer,photography,,,,,,,
116137,Cluster_116137,karate,gymnast,gymnastics,judo,taekwondo,aikido,jujitsu,,,
116177,Cluster_116177,typhoon,typhoon_chanchu,typhoon_aere,fung_wong,tropical_cyclone_nargis,typhoon_ketsana,,,,
116127,Cluster_116127,wooded,woodland,grassland,heathland,bracken,,,,,
116150,considerably,slightly,significantly,somewhat,dramatically,substantially,steadily,considerably,drastically,markedly,tad
116147,Cluster_116147,gazexport,ukrsotsbank,unicredit_crdi.mi,bank_pekao_sa,bank_nyrt,ukrtatnafta,,,,
116166,Cluster_116166,anime,manga,shojo,fruits_basket,samurai_champloo,azumanga_daioh,,,,
116167,Cluster_116167,demigod,outrun,alien_hominid,bubble_bobble,pixeljunk,ultimate_mortal_kombat,tri_ace,twin_snakes,space_empires,tactics_ogre
116148,Cluster_116148,extravaganza,howl_o_ween,boo_bash,adoptathon,adopt_thon,,,,,
116116,Cluster_116116,westward,northward,eastward,southward,southerly,northerly,westerly,northwards,eastwards,easterly
116109,mechanic,mechanic,electrician,carpenter,welder,craftsman,machinist,roofer,woodworker,plasterer,
116113,Cluster_116113,quilt,sewing,knitting,sew,embroidery,quilting,woodworking,crochet,crocheting,needlework
116138,congressional,senate,governor,lawmakers,democrat,legislature,legislative,congressional,senator,lawmaker,congressman
116159,boat,military,boat,vessel,sailing,naval,yacht,canoe,warship,sailboat,catamaran
116190,lake,river,lake,waterfront,creek,shoreline,marina,pier,waterway,jetty,wharf
116099,Cluster_116099,hallway,courtyard,walkway,staircase,stairwell,stairway,promenade,entryway,entranceway,
116126,celebration,celebration,commemorate,remembrance,commemoration,commemorating,merriment,festivity,,,
116087,fake,false,fake,misleading,fraudulent,bogus,phony,mislead,fraudulently,,
116249,largely,mostly,largely,primarily,mainly,partly,chiefly,,,,
116151,Cluster_116151,veil,scarf,burqa,headscarf,hijab,niqab,burka,,,
